"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
6,2008,6,9,0.256803703,17.01724138,0,366,1.392652411,0.522321345,-0.16400521,0.663641815,0.005936767,0.438198727,-0.007289177,0.268255076,-0.886547849,0.759076773
6,2009,6,10,0.296287231,16.07017544,0,365,0.730928748,0.545535939,-0.570214313,0.63528158,-0.602575257,0.554325813,-0.301430347,0.317395174,-0.020794133,0.747937952
6,2010,6,11,0.264049097,16,0,365,0.245420618,0.635946973,-0.034191257,0.606493272,-0.835429936,0.722641966,-0.461946558,0.404979628,-0.294081881,0.830481699
6,2011,6,12,0.298842282,18.66666667,1,305,0.29982238,0.615636751,-0.667654183,0.683661366,-0.026374837,0.518361401,-0.02656187,0.307553371,-0.061995122,0.80776968
3,2007,7,9,0.161706353,4.904761905,0,19,-0.083977851,0.930604389,-0.019182089,0.821616417,-0.347178579,0.730996775,-0.173106938,0.419212428,-0.072678678,0.958915212
5,2003,7,5,0.120597025,30.04225352,0,365,-0.635910082,0.80853018,-0.348621407,0.746484603,-0.754156803,0.457140969,-0.409686212,0.270048832,-0.962672388,0.789713354
5,2004,7,6,0.196087852,33.36315789,0,366,-0.020108019,0.773552611,-0.337763153,0.740466664,-0.82414224,0.335863862,-0.439732198,0.216646102,-0.238146884,0.55292423
5,2005,7,7,0.264566825,34.20114943,0,365,0.664685255,0.414721971,-0.388399546,0.520730939,0.305156617,0.220075674,0.11963979,0.169198315,-0.927986833,0.626576345
5,2006,7,8,0.324534104,37.37423313,0,365,1.410410435,0.32861229,0.450874425,0.400805609,0.189460624,0.228929547,-0.00296619,0.173427875,-0.426888282,0.567163417
5,2007,7,9,0.272314666,31.3852459,0,346,1.447526288,0.344028065,0.715876366,0.422883159,0.473258661,0.244650026,0.256809167,0.179641962,-0.43667071,0.676673258
5,2008,7,10,0.315804473,17.8375,0,366,1.218834761,0.455811974,-0.086207855,0.578964909,0.529792199,0.363001359,0.327482195,0.236574734,0.114971584,0.751235529
5,2009,7,11,0.296287227,19.21518987,0,365,1.664518824,0.492445826,0.156829339,0.569215836,0.670166312,0.382290143,0.406192027,0.249210556,1.147542715,0.716244053
5,2010,7,12,0.39367005,19.92,0,365,1.451488304,0.56169674,0.56128042,0.654557669,-0.000191612,0.728098112,-0.016226948,0.41662038,-0.433406705,0.914443046
5,2011,7,13,0.469249118,22.3030303,0,365,1.030912852,0.514326405,0.474377959,0.52327424,0.382705841,0.382896533,0.327693879,0.252730415,-0.217382451,0.799356574
5,2012,7,14,0.572084237,23.41071429,1,278,1.157239316,0.495872546,0.552534755,0.519696398,0.68843546,0.368708888,0.404972394,0.241121233,0.386488198,0.778125417
6,2014,8,5,0.125422527,22.15555556,0,365,-0.738080494,0.763759176,-0.585133641,0.715774469,-0.806477837,0.642388756,-0.429827127,0.370478895,0.204981406,0.706120598
6,2015,8,6,0.176950445,22.69387755,0,365,0.274294924,0.618138721,-0.288886487,0.639905848,-0.380427776,0.530656646,-0.204746201,0.313515648,0.047288777,0.69064737
6,2016,8,7,0.207794616,23.7037037,0,366,-0.491750566,0.826631494,-0.310064202,0.74320894,-0.662291612,0.756396046,-0.36254419,0.434794896,0.095880679,0.823001694
6,2017,8,8,0.237500594,26.72727273,0,365,-0.768300737,0.794374099,-0.160431591,0.685984884,0.017211969,0.456364465,0.012225023,0.273798385,-0.18069808,0.855546673
6,2018,8,9,0.251493335,27.25,0,365,-0.054537647,0.749690098,-0.384208573,0.725294624,-0.597633981,0.727583082,-0.326561804,0.417353096,-0.226883355,0.880974114
6,2019,8,10,0.26709207,30.2962963,0,365,NA,NA,NA,NA,-0.485344178,0.712177471,-0.254624585,0.411145807,-0.41094868,0.863586555
5,2002,9,8,0.748353097,30,0,365,-0.293338983,0.876583812,-0.204582848,0.774912646,-0.303606707,0.794146892,-0.165695745,0.446523091,0.155981216,0.944939016
5,2003,9,9,0.67844229,30.04225352,0,365,-0.395235858,0.694965766,-0.127280667,0.661271531,-0.188833175,0.389922811,-0.102991269,0.242645791,0.193874835,0.748523463
5,2004,9,10,0.579336525,33.36315789,0,366,1.469543612,0.580500233,-0.335234559,0.731191496,0.010201541,0.266858023,-0.051640426,0.185915698,1.000760068,0.51219871
5,2005,9,11,0.543058628,34.20114943,0,365,0.530336146,0.45317094,-0.933736506,0.631814451,-1.59562214,0.375187445,-0.863019145,0.231326044,0.250399256,0.559915747
5,2006,9,12,0.57915306,37.37423313,0,365,0.711179933,0.389284541,-0.513252964,0.565690671,-0.495876982,0.270484452,-0.264361972,0.187545199,-0.828002506,0.618048669
5,2007,9,13,0.628662068,31.3852459,0,200,-0.395606358,0.617194173,-0.653431004,0.675104072,-1.147054764,0.425646084,-0.610698962,0.262659626,-0.224554196,0.677846716
9,2007,9,13,0.606302296,12.40909091,0,165,-0.254166988,0.882215714,-0.163867717,0.771001129,-0.232064927,0.74468311,-0.110852869,0.416955426,0.268417428,0.897656733
9,2008,9,14,0.50062667,15.85555556,0,366,1.062059114,0.503359206,0.409446169,0.55468421,0.687624118,0.354454836,0.339461166,0.234117911,0.482621497,0.701003704
9,2009,9,15,0.514353974,18.92405063,0,365,-0.346634438,0.596526527,-0.11279467,0.617510175,-1.399553047,0.600184902,-0.758154475,0.346310718,0.549220448,0.709160945
9,2010,9,16,0.546244376,21.06896552,0,365,-0.253778896,0.74200447,-0.443129145,0.711057969,-0.063001788,0.57094782,-0.023375696,0.337964887,-0.418815118,0.865353645
9,2011,9,17,0.640691943,23.73684211,0,365,-0.625049905,0.816930873,-0.309848628,0.744520829,0.40118891,0.528023692,0.203824933,0.312991797,0.481708538,0.819866486
9,2012,9,18,0.620568348,24.75925926,0,366,-0.609901875,0.701139767,0.05347106,0.700883417,-0.659439532,0.602069358,-0.354083484,0.346354187,0.031440622,0.833964895
9,2013,9,19,0.644300241,26.4,0,365,-0.182967039,0.917131061,-0.086973934,0.826900698,-0.30428203,0.838893351,-0.163259177,0.470799274,-0.135013187,0.942924771
9,2014,9,20,0.656556379,27.9,0,365,-0.420285755,0.853515587,-0.16490067,0.768748893,-0.82330896,0.711864281,-0.446883831,0.406198262,0.038527436,0.92422473
9,2015,9,21,0.657661796,26,1,295,-0.043118176,0.964843852,-0.030705284,0.815423861,-0.153851233,0.855043117,-0.085396427,0.477916114,-0.138456239,0.965018655
10,2002,10,35,0.599756459,35.89767442,0,365,NA,NA,NA,NA,0.664896167,0.295463504,0.410273942,0.203500121,0.805900343,0.549558121
10,2003,10,36,0.690678237,36.8202765,0,365,-0.025691821,0.983094601,-0.008093665,0.808375064,0.527438848,0.28424297,0.365746034,0.200744582,0.804737726,0.602352976
10,2004,10,37,0.759596471,29.56989247,1,237,NA,NA,NA,NA,0.830188729,0.245694658,0.399990325,0.182217415,0.738778208,0.541092153
5,2007,11,5,0.244123621,31.3852459,0,365,-0.217608734,0.454626602,-0.826296423,0.590881828,-0.886713187,0.362171791,-0.555623919,0.228804568,-1.815629988,0.722659022
5,2008,11,6,0.637505821,17.8375,0,366,1.324750859,0.445609805,-0.097081212,0.570092881,1.030874835,0.319484732,0.534467035,0.224195892,0.746579828,0.711225559
5,2009,11,7,0.756247549,19.21518987,0,365,1.393756695,0.492324672,-0.315289953,0.611101206,0.281406747,0.426092218,0.134978111,0.262732974,0.671098673,0.737015693
5,2010,11,8,0.828845639,19.92,0,365,1.233920187,0.603104061,-0.317903079,0.720275074,0.112532671,0.682798138,0.059398673,0.385288263,0.533952175,0.891338513
5,2011,11,9,0.803829834,22.3030303,0,365,1.508797856,0.519092027,-0.165325315,0.615663885,0.632453018,0.379936235,0.290253065,0.25017411,-0.001913648,0.815048916
5,2012,11,10,0.788497374,23.41071429,0,366,1.364763666,0.505715483,0.332492,0.572407461,1.04397328,0.349486675,0.529270907,0.237488121,0.681764167,0.75577471
5,2013,11,11,0.758065013,18.83333333,0,365,1.410117946,0.518098193,-0.527010402,0.638211181,0.85952771,0.478512691,0.447431473,0.28456243,0.783905568,0.832893884
5,2014,11,12,0.769178119,16.55555556,0,365,1.894092015,0.5309491,-0.527108018,0.695758963,0.241849991,0.648192964,0.150729282,0.377048018,0.905004313,0.840996083
5,2015,11,13,0.813089193,15.74285714,0,365,1.451343724,0.448657149,-0.042701582,0.597928365,0.547345353,0.422548335,0.353033575,0.258163196,0.249779505,0.761813211
5,2016,11,14,0.711514834,11.88888889,0,366,0.171345397,0.800023736,-0.134557061,0.78582183,0.496331349,0.676486389,0.267494883,0.385215452,0.036658893,0.908589164
5,2017,11,15,0.758836145,14.36,0,365,1.238964448,0.630317923,-0.281352977,0.753522684,0.203943787,0.656611816,0.094175456,0.375088364,0.138785119,0.964930023
5,2018,11,16,0.8612047,16.33333333,0,365,1.063697052,0.724580235,-0.192618432,0.761734068,0.717263851,0.686258022,0.423250788,0.38691678,0.17134574,0.936384058
5,2019,11,17,0.834820573,18.25,0,365,-0.862327576,0.783017446,-0.656825969,0.718261103,1.247215177,0.487187803,0.640942093,0.292906614,-0.282093084,0.863828462
1,2002,12,9,0.516491501,35.80334728,0,365,-0.032861329,0.968970947,-0.027411404,0.805742261,-1.19905472,0.390863646,-0.622973516,0.248764363,-0.28036965,0.617734238
1,2003,12,10,0.568087349,28.18828452,0,365,-0.472128963,0.687890697,-0.51875426,0.691764042,-0.270465057,0.255098468,-0.088329297,0.182635387,-0.134694306,0.686708615
1,2004,12,11,0.475754939,17.22282609,0,366,-0.214248014,0.92017252,-0.094538371,0.801255748,-1.012757741,0.555854839,-0.535745747,0.32559551,-0.098520685,0.737901096
1,2005,12,12,0.395957328,20.05128205,0,365,1.092079153,0.634721965,0.592950879,0.635634294,-1.708712219,0.605722987,-0.931222182,0.354892617,-0.357841442,0.712033913
1,2006,12,13,0.393364814,22.12328767,0,365,0.964985356,0.585337102,-0.087218186,0.611396075,-0.946004303,0.528629456,-0.483490682,0.317356675,-1.153892115,0.747781867
1,2007,12,14,0.322757021,21.825,0,365,0.751748848,0.631914259,0.686502666,0.612124754,-0.14175577,0.434118191,-0.039958662,0.271665561,-0.073013793,0.776956906
