"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
6,2009,6,10,0.296287231,16.07017544,0,365,0.274514885,0.511909738,0.24718877,0.383596942,-0.418384315,0.585596223,-0.182507484,0.299986548,-0.004608698,0.856286068
6,2010,6,11,0.264049097,16,0,365,0.019749064,0.585310261,-0.017644565,0.40171573,-0.258723098,0.658988718,-0.110980847,0.332032605,-0.362274712,0.930910066
6,2011,6,12,0.298842282,18.66666667,1,305,0.032498682,0.515652519,0.085528034,0.366268184,-0.251841903,0.559324037,-0.126420956,0.284159543,-0.419048212,0.937531578
3,2007,7,9,0.161706353,4.904761905,0,19,-0.243657782,0.727393122,-0.158928137,0.4727604,-0.288298784,0.814896399,-0.139823591,0.40402909,-0.14145941,0.981144983
5,2003,7,5,0.120597025,30.04225352,0,365,-0.334012376,0.512656965,-0.167476385,0.358176182,-1.5168398,0.503794523,-0.752537937,0.262050967,0.083200039,0.790956017
5,2004,7,6,0.196087852,33.36315789,0,366,-0.058541458,0.476403856,0.040895368,0.350298887,-1.502419376,0.444285751,-0.728243533,0.230465545,-0.380230351,0.681990421
5,2005,7,7,0.264566825,34.20114943,0,365,-0.179526616,0.377160875,-0.096326081,0.296042309,-0.354399667,0.339020286,-0.21866165,0.194647063,-0.358882736,0.705006306
5,2006,7,8,0.324534104,37.37423313,0,365,0.004367761,0.353843806,-0.105847025,0.293653172,-0.047865747,0.31258335,-0.065698191,0.183489977,-0.658247905,0.707474835
5,2007,7,9,0.272314666,31.3852459,0,346,0.201732105,0.344154529,-0.044936739,0.286988161,-0.275276955,0.344402061,-0.162492016,0.194240781,-0.721585089,0.784906008
5,2008,7,10,0.315804473,17.8375,0,366,1.184297401,0.309202137,0.595672486,0.282729707,0.474205843,0.310766651,0.212073337,0.182000864,-0.139986933,0.692380987
5,2009,7,11,0.296287227,19.21518987,0,365,0.909668652,0.322308181,0.4830258,0.288701345,0.702513285,0.345921074,0.305188962,0.200003849,-0.959308088,0.788175521
5,2010,7,12,0.39367005,19.92,0,365,0.569096589,0.391279616,0.375068392,0.309097902,-1.012608366,0.68528528,-0.486474844,0.343766429,0.387636296,0.845229226
5,2011,7,13,0.469249118,22.3030303,0,365,0.742437549,0.336651628,0.36277908,0.295294082,-0.223409484,0.384436307,-0.131671898,0.212175934,-0.39646651,0.751218113
5,2012,7,14,0.572084237,23.41071429,1,278,0.670412381,0.350139548,0.357562948,0.298293887,0.419392627,0.358188096,0.163857685,0.201026339,-0.815228179,0.808365059
6,2014,8,5,0.125422527,22.15555556,0,365,-0.618640698,0.652350203,-0.400395018,0.445903927,-0.892131694,0.743306204,-0.434863786,0.371401403,-0.567676965,0.913888348
6,2015,8,6,0.176950445,22.69387755,0,365,-0.115271739,0.574019941,0.062765844,0.407533237,0.308824622,0.592572439,0.14633122,0.298591885,0.162023792,0.836465148
6,2016,8,7,0.207794616,23.7037037,0,366,-0.240356319,0.589124489,-0.133521943,0.409816541,-0.070503344,0.576723885,-0.02306589,0.29407123,-0.183350123,0.886528305
6,2017,8,8,0.237500594,26.72727273,0,365,-0.146538073,0.477068733,-0.118633858,0.344205466,0.295359686,0.433976902,0.111596347,0.232313566,-0.32784297,0.880039231
6,2018,8,9,0.251493335,27.25,0,365,-1.002779785,0.576586552,-0.62347961,0.397368974,0.104125118,0.569310088,0.070626798,0.291506981,-0.179348156,0.870655776
6,2019,8,10,0.26709207,30.2962963,0,365,-0.294482592,0.706087386,-0.18349995,0.466430969,0.263283183,0.48780007,0.133307647,0.253901728,-0.537052663,0.864848408
5,2002,9,8,0.748353097,30,0,365,-0.058039275,0.621373629,-0.045905385,0.417587966,-0.376614561,0.830692135,-0.180817799,0.414071916,0.240402569,0.970296974
5,2003,9,9,0.67844229,30.04225352,0,365,-0.288493334,0.477080147,-0.167815199,0.346579663,-0.322598601,0.367743294,-0.177269172,0.199873696,0.506638436,0.794174937
5,2004,9,10,0.579336525,33.36315789,0,366,-0.712762796,0.524330701,-0.509870467,0.371928043,-0.476445791,0.34008582,-0.27144767,0.195299284,-0.331752508,0.687449253
5,2005,9,11,0.543058628,34.20114943,0,365,-0.221250866,0.388984533,-0.234218806,0.304995568,-0.107693608,0.304078294,-0.060946955,0.178582113,-0.019562353,0.666047553
5,2006,9,12,0.57915306,37.37423313,0,365,0.42594134,0.364104511,0.198840309,0.30239437,0.372014017,0.270934134,0.150310288,0.172523449,-0.457620528,0.710939209
5,2007,9,13,0.628662068,31.3852459,0,200,-0.360027843,0.554960104,-0.23892639,0.39186287,-0.570777259,0.386143758,-0.227262965,0.210069789,-0.334333532,0.773584326
9,2007,9,13,0.606302296,12.40909091,0,165,0.360039729,0.654523444,0.204313597,0.454526423,0.475212751,0.599944099,0.235945922,0.308095316,1.072743885,0.871483227
9,2008,9,14,0.50062667,15.85555556,0,366,-0.037841829,0.498871813,0.101510942,0.384061313,0.440358706,0.363350163,0.218295744,0.211925752,0.530331627,0.739549002
