"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
6,2008,6,9,0.256803703,17.01724138,0,366,1.871402851,0.444504486,0.215592793,0.312025324,0.597620219,0.3340659,0.357836468,0.24531905,0.454699866,0.586956267
6,2009,6,10,0.296287231,16.07017544,0,365,1.958020971,0.346190504,0.114473679,0.283539273,-0.340366455,0.466305495,-0.029191769,0.289148235,-0.262242936,0.650855869
6,2010,6,11,0.264049097,16,0,365,1.743890694,0.455466023,0.04072699,0.310821803,0.322983972,0.542090541,0.207411652,0.337550172,-1.157725555,0.754340934
6,2011,6,12,0.298842282,18.66666667,1,305,1.907923791,0.349068737,0.065249438,0.288967823,0.137036097,0.42884246,0.038837178,0.285230399,-0.179944706,0.709467209
3,2007,7,9,0.161706353,4.904761905,0,19,-0.255541453,1.299653716,-0.068106613,0.350820935,-0.302969622,0.860116317,-0.126603662,0.484440013,-0.313570852,0.945575849
5,2003,7,5,0.120597025,30.04225352,0,365,1.231190968,0.388850781,0.03017648,0.296180876,-0.670199009,0.35594003,-0.359669349,0.22850392,-0.152185193,0.580236571
5,2004,7,6,0.196087852,33.36315789,0,366,1.091405746,0.325520254,0.162670923,0.269847252,-0.504964215,0.257531619,-0.131143976,0.190439692,-1.024157175,0.505613689
5,2005,7,7,0.264566825,34.20114943,0,365,1.359195185,0.232607026,0.194333865,0.227717436,0.580561543,0.179328263,0.32062695,0.162921687,-1.204290159,0.491757471
5,2006,7,8,0.324534104,37.37423313,0,365,1.814067476,0.205092312,0.163602409,0.220679402,0.671534123,0.181199036,0.285843832,0.156269639,-1.516823941,0.50837979
5,2007,7,9,0.272314666,31.3852459,0,346,1.809632357,0.212359478,0.369526321,0.21860091,0.785480068,0.200209578,0.372854107,0.169292587,-2.136663542,0.612151222
5,2008,7,10,0.315804473,17.8375,0,366,2.780279338,0.241230027,0.292527476,0.238589533,1.260724162,0.244096682,0.677826886,0.1971718,-0.883683353,0.6134296
5,2009,7,11,0.296287227,19.21518987,0,365,2.529024821,0.242654403,0.308349223,0.237394198,1.327086194,0.26151628,0.695720806,0.21287474,-0.267753181,0.601311142
5,2010,7,12,0.39367005,19.92,0,365,2.214756179,0.306031768,0.362738938,0.268874491,-0.645157773,0.68543213,-0.354077319,0.402136403,-0.912656878,0.735814326
5,2011,7,13,0.469249118,22.3030303,0,365,2.146256072,0.242193387,0.399253738,0.226442147,0.396140185,0.26511666,0.33167422,0.203052578,-1.225354582,0.596700136
5,2012,7,14,0.572084237,23.41071429,1,278,2.244683632,0.250912678,0.440377741,0.242196863,0.87540858,0.25391434,0.341801877,0.206472356,-0.490770964,0.593798456
6,2014,8,5,0.125422527,22.15555556,0,365,-0.405204157,0.853251328,-0.273340205,0.310994126,-1.247617616,0.731544135,-0.647429734,0.413300401,-1.273617252,0.663573455
6,2015,8,6,0.176950445,22.69387755,0,365,0.708274521,0.466263815,0.197606482,0.284389588,0.479073637,0.408986611,0.302756213,0.273203642,0.250377367,0.593596689
6,2016,8,7,0.207794616,23.7037037,0,366,1.101214738,0.494277095,0.127425325,0.303900539,-0.105476234,0.575397253,-0.018236317,0.349959387,-0.820276419,0.706635103
6,2017,8,8,0.237500594,26.72727273,0,365,1.095002566,0.403897477,0.061885702,0.281268136,0.910295705,0.308492873,0.383866746,0.22675251,-0.241936245,0.67205851
6,2018,8,9,0.251493335,27.25,0,365,0.020178219,0.638152333,-0.130202782,0.309805189,0.191931535,0.555414398,0.177079541,0.343900844,-0.807391111,0.718710037
6,2019,8,10,0.26709207,30.2962963,0,365,-0.463404075,1.268844839,-0.031845562,0.3497587,0.364070043,0.471437757,0.231469954,0.295252056,-0.415801512,0.639062753
5,2002,9,8,0.748353097,30,0,365,0.190147752,0.943792523,-0.032483619,0.330136057,-0.492823186,0.907687301,-0.258553411,0.510531133,-0.326851526,0.821805165
5,2003,9,9,0.67844229,30.04225352,0,365,2.018243858,0.286634156,0.070864659,0.289540507,0.333210628,0.264754515,0.117435573,0.203588895,-0.386971647,0.613081317
5,2004,9,10,0.579336525,33.36315789,0,366,1.469251287,0.329714248,-0.044058146,0.294616178,0.347349968,0.212002538,0.168819798,0.181071948,-0.250255622,0.484826901
5,2005,9,11,0.543058628,34.20114943,0,365,1.475369486,0.237178855,-0.240660372,0.236630621,-0.006642232,0.202959956,0.193218342,0.174700225,-0.579018461,0.487349059
5,2006,9,12,0.57915306,37.37423313,0,365,1.836313928,0.218104153,0.16386355,0.220287111,0.796309802,0.175150902,0.523499312,0.15710132,-0.749605972,0.504205472
5,2007,9,13,0.628662068,31.3852459,0,200,1.155347651,0.391436135,-0.317569212,0.290236336,-0.003420192,0.255643905,0.169561573,0.208956283,-1.018148981,0.549765213
9,2007,9,13,0.606302296,12.40909091,0,165,1.655799633,0.633797027,0.10385621,0.317269922,0.882787715,0.436473498,0.54402522,0.296743166,0.260617928,0.722576087
9,2008,9,14,0.50062667,15.85555556,0,366,2.14295326,0.345812844,0.337447397,0.277639001,1.097606345,0.258416293,0.526098854,0.21549087,1.012147489,0.591254763
9,2009,9,15,0.514353974,18.92405063,0,365,1.592568085,0.319796829,-0.046046309,0.267789884,0.202600278,0.322503687,0.05797867,0.244043272,0.215466011,0.59361635
9,2010,9,16,0.546244376,21.06896552,0,365,1.536966588,0.408188981,0.03390219,0.291040307,-0.017082738,0.455540933,0.068287228,0.296742817,-1.016521136,0.704885683
9,2011,9,17,0.640691943,23.73684211,0,365,0.335928054,0.526467314,-0.056776195,0.29923459,0.553408538,0.367003126,0.270314982,0.268136315,-0.028064671,0.640820309
9,2012,9,18,0.620568348,24.75925926,0,366,1.468760682,0.300468461,0.163489505,0.254838304,-0.762293464,0.477881179,-0.460205267,0.302733736,-0.186372775,0.582470004
9,2013,9,19,0.644300241,26.4,0,365,-0.444236946,1.252175648,-0.080628492,0.348882131,0.173064931,0.660924679,0.056509024,0.392206819,-0.348217034,0.849655618
9,2014,9,20,0.656556379,27.9,0,365,-0.733204685,1.162917083,-0.058233459,0.331918272,-0.598590117,0.716851217,-0.345653598,0.418994027,-0.389672296,0.762218068
9,2015,9,21,0.657661796,26,1,295,-0.141287053,1.346701011,0.087534127,0.352661614,-0.362771739,0.946780124,-0.191755127,0.534684742,-0.112138424,0.900416585
10,2002,10,35,0.599756459,35.89767442,0,365,0.38097128,0.496155183,-0.008793469,0.32492747,1.054517988,0.224665835,0.609447733,0.191306638,0.290118544,0.460008165
10,2003,10,36,0.690678237,36.8202765,0,365,0.403390512,0.429862099,0.020463232,0.316441253,1.028746242,0.199204007,0.665228618,0.178784404,-0.545605495,0.53000296
10,2004,10,37,0.759596471,29.56989247,1,237,0.639749846,0.428677892,-0.087916229,0.310426273,1.507442312,0.184013014,0.849699098,0.167673329,-0.118666286,0.501089966
5,2007,11,5,0.244123621,31.3852459,0,365,1.19780585,0.236155921,-0.047501406,0.23006285,0.516525522,0.210216016,0.165180465,0.177964225,-1.375310838,0.534610768
5,2008,11,6,0.637505821,17.8375,0,366,2.750224155,0.243022932,0.077370394,0.24305489,1.795458204,0.216404819,0.773896868,0.191567021,0.25717239,0.559773597
5,2009,11,7,0.756247549,19.21518987,0,365,2.904171889,0.236503801,0.122903691,0.237908759,1.317278867,0.260902943,0.525535003,0.211351149,-0.243819849,0.599123662
5,2010,11,8,0.828845639,19.92,0,365,2.637827296,0.281402235,0.090854517,0.280481651,1.82665285,0.356372538,0.887694901,0.248673426,-0.208156697,0.714060111
5,2011,11,9,0.803829834,22.3030303,0,365,2.770705543,0.23660977,-0.015372746,0.238819398,1.561482945,0.203950607,0.762110978,0.178673887,-1.03657575,0.596256289
5,2012,11,10,0.788497374,23.41071429,0,366,2.728758371,0.243964874,0.165861002,0.249996301,1.857961073,0.205054914,0.947121046,0.177871961,-0.58144896,0.582294448
5,2013,11,11,0.758065013,18.83333333,0,365,2.587369284,0.282196202,0.167700513,0.271242748,1.890319987,0.275302572,0.90396401,0.219659076,0.200857352,0.649914352
5,2014,11,12,0.769178119,16.55555556,0,365,2.800414587,0.332451198,0.30405073,0.303400381,1.932690153,0.399142151,1.173526288,0.27605393,0.300665283,0.756189645
5,2015,11,13,0.813089193,15.74285714,0,365,2.319866755,0.274839999,0.228816412,0.264674709,1.245466315,0.339019397,0.727904747,0.252913114,-0.237406791,0.652515739
5,2016,11,14,0.711514834,11.88888889,0,366,2.177146341,0.468005246,0.123714185,0.308991337,1.434240648,0.476851138,0.788732295,0.31472635,0.205479096,0.764738273
5,2017,11,15,0.758836145,14.36,0,365,3.22350605,0.304945865,0.082410748,0.285815298,0.755647742,0.463846331,0.395271421,0.300358809,-0.310189328,0.800392358
5,2018,11,16,0.8612047,16.33333333,0,365,2.190032758,0.415306307,0.218108887,0.310233442,1.560726204,0.502578684,0.822175014,0.314653713,0.072097432,0.786274572
5,2019,11,17,0.834820573,18.25,0,365,-2.752249746,0.866269656,-0.590311087,0.309064922,2.225112778,0.290652422,0.865831776,0.231256791,-0.551791927,0.686997477
1,2002,12,9,0.516491501,35.80334728,0,365,1.740157153,0.378472499,-0.099423608,0.308501158,-0.530148824,0.319807401,-0.25794661,0.236851101,-1.142590626,0.506640044
1,2003,12,10,0.568087349,28.18828452,0,365,1.217523641,0.29725723,0.13514401,0.280252289,0.502709224,0.181014065,0.450433589,0.162534412,-1.11766263,0.573078593
1,2004,12,11,0.475754939,17.22282609,0,366,1.901189807,0.313783701,-0.176425868,0.276126347,-0.993783346,0.333212163,-0.395048048,0.242779389,0.278966918,0.572626496
1,2005,12,12,0.395957328,20.05128205,0,365,2.054673554,0.311264917,0.05713485,0.26946733,-1.321953741,0.395977053,-0.601337602,0.27404285,-0.859312597,0.565066196
1,2006,12,13,0.393364814,22.12328767,0,365,2.085807279,0.339681749,-0.134709608,0.283585388,-1.680150979,0.480240221,-0.819476149,0.307527965,-1.606443179,0.578979139
1,2007,12,14,0.322757021,21.825,0,365,1.104237266,0.429719145,0.006094798,0.288530536,-0.628596318,0.358669064,-0.158207392,0.264061815,-1.178133534,0.6222259
1,2008,12,15,0.369523879,22.63207547,0,366,1.997110643,0.404645065,-0.065820557,0.297242653,-1.820840203,0.648654929,-0.933947878,0.38389546,-0.42549157,0.596769885
1,2009,12,16,0.341033028,24.51351351,0,365,1.18824361,0.320395793,-0.071477903,0.261767846,-1.587132245,0.577701114,-0.844896322,0.346457352,-1.04094901,0.595502159
1,2010,12,17,0.371647553,26.5942029,0,365,1.228023224,0.343601775,-0.304382477,0.277539791,-0.204373957,0.42955348,0.136060397,0.292141754,-1.736153393,0.683007909
